date,match,position,country,player,tries,carries_metres,runs,defenders_beaten,clean_breaks,passes,offload,turnovers_conceded,try_assist,points,tackles,missed_tackles,turnover_won,kicks_from_hand,conversion_goals,penalty_goals,drop_goals_converted,lineout_throw_won_clean,lineouts_won,lineout_won_steal,penalties_conceded,red_cards,yellow_cards
2018-11-03,england_vs_south_africa,1,South Africa,Steven Kitshoff,0,3,6,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
2018-11-03,england_vs_south_africa,2,South Africa,Malcolm Marx,0,15,8,0,0,1,0,3,0,0,5,1,1,0,0,0,0,11,13,0,0,0,0
2018-11-03,england_vs_south_africa,3,South Africa,Frans Malherbe,0,2,2,0,0,1,0,1,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0
2018-11-03,england_vs_south_africa,4,South Africa,Eben Etzebeth,0,5,5,0,0,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0
2018-11-03,england_vs_south_africa,5,South Africa,Pieter-Steph du Toit,0,19,12,1,0,3,0,0,0,0,13,1,0,0,0,0,0,0,0,1,1,0,0
2018-11-03,england_vs_south_africa,6,South Africa,Siya Kolisi,0,0,2,0,0,0,0,2,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0
2018-11-03,england_vs_south_africa,7,South Africa,Duane Vermeulen,0,27,9,1,0,2,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0
2018-11-03,england_vs_south_africa,8,South Africa,Warren Whiteley,0,7,5,1,0,5,0,0,1,0,14,1,0,0,0,0,0,0,0,0,1,0,0
2018-11-03,england_vs_south_africa,9,South Africa,Ivan van Zyl,0,0,4,0,0,65,0,0,0,0,3,0,0,10,0,0,0,0,0,0,0,0,0
2018-11-03,england_vs_south_africa,10,South Africa,Handre Pollard,0,65,12,3,1,20,0,3,0,6,7,1,0,6,0,2,0,0,0,0,0,0,0
2018-11-03,england_vs_south_africa,11,South Africa,Aphiwe Dyantyi,0,59,8,1,0,2,0,2,0,0,5,1,0,1,0,0,0,0,0,0,0,0,0
2018-11-03,england_vs_south_africa,12,South Africa,Damian de Allende,0,63,15,6,2,1,0,2,0,0,11,1,0,1,0,0,0,0,0,0,1,0,0
2018-11-03,england_vs_south_africa,13,South Africa,Jesse Kriel,0,30,4,2,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
2018-11-03,england_vs_south_africa,14,South Africa,Sibusiso Nkosi,1,15,5,2,1,0,0,1,0,5,8,4,0,1,0,0,0,0,0,0,1,0,0
2018-11-03,england_vs_south_africa,15,South Africa,Damian Willemse,0,47,9,5,0,8,0,1,0,0,2,1,1,7,0,0,0,0,0,0,0,0,0
2018-11-03,england_vs_south_africa,16,South Africa,Mbongeni Mbonami,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2018-11-03,england_vs_south_africa,17,South Africa,Thomas du Toit,0,5,4,0,0,1,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1,0,0
2018-11-03,england_vs_south_africa,18,South Africa,Wilco Louw,0,0,2,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
2018-11-03,england_vs_south_africa,19,South Africa,RG Snyman,0,2,5,0,0,3,0,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0
2018-11-03,england_vs_south_africa,20,South Africa,Lodewyk De Jager,0,4,4,0,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2018-11-03,england_vs_south_africa,21,South Africa,Embrose Papier,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-11-03,england_vs_south_africa,22,South Africa,Elton Jantjies,0,4,3,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-11-03,england_vs_south_africa,23,South Africa,Andre Esterhuizen,0,9,5,0,0,1,0,1,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0
