date,match,position,country,player,try_scored,ball_carry_meters,ball_carry,beat_defender,line_break,passes,offload,total_turnovers_conceded,try_assist,points_scored,tackle_made,tackle_missed,total_turnovers_gained,kicks_from_hand,conversion_successful,penalty_goal_successful,drop_kick_successful,lineout_won_own_throw,lineout_won_steal,penalties_conceded,red_card,yellow_card
2020-11-14,italy_vs_scotland,1,Italy,Danilo Fischetti,0,8,8,1,0,2,0,1,0,0,10,2,2,0,0,0,0,0,0,2,0,0
2020-11-14,italy_vs_scotland,2,Italy,Luca Bigi,0,1,1,0,0,2,0,0,0,0,10,1,0,0,0,0,0,0,0,1,0,0
2020-11-14,italy_vs_scotland,3,Italy,Giosue Zilocchi,0,8,6,0,0,0,0,0,0,0,13,1,0,0,0,0,0,0,0,0,0,0
2020-11-14,italy_vs_scotland,4,Italy,Marco Lazzaroni,0,8,5,0,0,4,1,1,0,0,6,2,0,0,0,0,0,4,0,2,0,0
2020-11-14,italy_vs_scotland,5,Italy,Niccolo Cannone,0,18,11,0,0,0,0,0,0,0,14,2,0,0,0,0,0,1,0,0,0,0
2020-11-14,italy_vs_scotland,6,Italy,Sebastian Negri,0,17,9,1,0,1,0,0,0,0,15,1,0,0,0,0,0,0,0,0,0,0
2020-11-14,italy_vs_scotland,7,Italy,Braam Steyn,0,5,4,0,0,2,0,2,0,0,8,1,1,0,0,0,0,4,1,0,0,0
2020-11-14,italy_vs_scotland,8,Italy,Jake Polledri,0,16,10,4,0,5,1,1,0,0,12,1,0,1,0,0,0,1,0,0,0,0
2020-11-14,italy_vs_scotland,9,Italy,Marcello Violi,0,9,6,1,0,58,2,0,0,0,5,4,0,2,0,0,0,0,0,0,0,0
2020-11-14,italy_vs_scotland,10,Italy,Paolo Garbisi,0,13,6,0,0,21,1,0,0,12,4,1,0,13,0,4,0,0,0,0,0,0
2020-11-14,italy_vs_scotland,11,Italy,Mattia Bellini,0,17,11,0,1,5,3,2,1,0,1,2,2,1,0,0,0,0,0,0,0,0
2020-11-14,italy_vs_scotland,12,Italy,Carlo Canna,0,15,7,1,0,5,0,1,0,0,7,2,0,7,0,0,0,0,0,0,0,0
2020-11-14,italy_vs_scotland,13,Italy,Marco Zanon,0,13,6,2,0,4,0,1,0,0,7,4,0,0,0,0,0,0,0,0,0,0
2020-11-14,italy_vs_scotland,14,Italy,Jacopo Trulla,0,4,3,1,0,2,1,0,0,0,6,1,0,1,0,0,0,0,0,0,0,0
2020-11-14,italy_vs_scotland,15,Italy,Matteo Minozzi,1,14,10,0,0,5,0,0,0,5,1,1,0,2,0,0,0,0,0,0,0,0
2020-11-14,italy_vs_scotland,16,Italy,Leonardo Ghiraldini,0,4,5,0,0,2,1,0,0,0,6,1,1,0,0,0,0,0,0,0,0,0
2020-11-14,italy_vs_scotland,17,Italy,Simone Ferrari,0,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
2020-11-14,italy_vs_scotland,18,Italy,Pietro Ceccarelli,0,4,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-11-14,italy_vs_scotland,19,Italy,Johan Meyer,0,10,4,1,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,1,0,0
