date,match,position,country,player,try_scored,ball_carry_meters,ball_carry,beat_defender,line_break,passes,offload,total_turnovers_conceded,try_assist,points_scored,tackle_made,tackle_missed,total_turnovers_gained,kicks_from_hand,conversion_successful,penalty_goal_successful,drop_kick_successful,lineout_won_own_throw,lineout_won_steal,penalties_conceded,red_card,yellow_card
2020-11-21,wales_vs_georgia,1,Wales,Wyn Jones,0,2,6,0,0,1,0,0,0,0,4,0,2,0,0,0,0,0,0,1,0,0
2020-11-21,wales_vs_georgia,2,Wales,Elliot Dee,0,7,7,0,0,4,0,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0
2020-11-21,wales_vs_georgia,3,Wales,Samson Lee,0,5,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
2020-11-21,wales_vs_georgia,4,Wales,Jake Ball,0,10,9,0,0,3,0,0,0,0,11,0,0,0,0,0,0,3,0,1,0,0
2020-11-21,wales_vs_georgia,5,Wales,Seb Davies,0,3,5,0,0,3,0,2,0,0,7,0,0,0,0,0,0,6,0,0,0,0
2020-11-21,wales_vs_georgia,6,Wales,James Botham,0,24,8,0,1,1,0,0,0,0,10,2,1,0,0,0,0,0,0,1,0,0
2020-11-21,wales_vs_georgia,7,Wales,Justin Tipuric,0,3,3,0,0,5,0,1,0,0,8,0,2,0,0,0,0,1,1,0,0,0
2020-11-21,wales_vs_georgia,8,Wales,Aaron Wainwright,0,21,18,2,0,2,1,3,0,0,7,1,0,0,0,0,0,0,0,0,0,0
2020-11-21,wales_vs_georgia,9,Wales,Kieran Hardy,0,4,2,0,0,61,0,1,0,0,6,2,0,6,0,0,0,0,0,1,0,0
2020-11-21,wales_vs_georgia,10,Wales,Callum Sheedy,0,2,4,0,0,34,0,2,1,8,5,0,0,9,1,2,0,0,0,1,0,0
2020-11-21,wales_vs_georgia,11,Wales,Louis Rees-Zammit,1,34,6,2,1,4,1,1,1,5,2,0,0,1,0,0,0,0,0,0,0,0
2020-11-21,wales_vs_georgia,12,Wales,Johnny Williams,0,17,12,2,0,8,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0
2020-11-21,wales_vs_georgia,13,Wales,Nick Tompkins,0,9,7,0,0,10,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
2020-11-21,wales_vs_georgia,14,Wales,Johnny McNicholl,0,7,4,0,0,4,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0
2020-11-21,wales_vs_georgia,15,Wales,Liam Williams,0,17,9,1,0,1,0,1,0,0,1,0,0,2,0,0,0,0,0,2,0,0
