date,match,position,country,player,try_scored,ball_carry_meters,ball_carry,beat_defender,line_break,passes,offload,total_turnovers_conceded,try_assist,points_scored,tackle_made,tackle_missed,total_turnovers_gained,kicks_from_hand,conversion_successful,penalty_goal_successful,drop_kick_successful,lineout_won_own_throw,lineout_won_steal,penalties_conceded,red_card,yellow_card
2020-11-28,france_vs_italy,1,France,Rodrigue Neti,0,5,3,0,0,0,0,1,0,0,11,1,1,0,0,0,0,0,0,3,0,0
2020-11-28,france_vs_italy,2,France,Peato Mauvaka,0,3,1,0,0,1,0,2,0,0,13,1,0,0,0,0,0,0,0,1,0,0
2020-11-28,france_vs_italy,3,France,Dorian Aldegheri,0,4,2,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0
2020-11-28,france_vs_italy,4,France,Kilian Geraci,0,8,4,0,0,0,0,1,0,0,15,0,1,0,0,0,0,0,1,1,0,0
2020-11-28,france_vs_italy,5,France,Baptiste Pesenti,0,10,5,0,0,0,0,0,0,0,15,1,0,0,0,0,0,0,0,0,0,0
2020-11-28,france_vs_italy,6,France,Cameron Woki,0,29,6,0,1,1,1,1,0,0,7,1,1,0,0,0,0,5,1,2,0,0
2020-11-28,france_vs_italy,7,France,Sekou Macalou,1,8,4,0,0,1,0,4,0,5,11,0,2,0,0,0,0,4,0,1,0,0
2020-11-28,france_vs_italy,8,France,Gregory Alldritt,0,18,9,0,0,2,0,0,0,0,17,1,0,0,0,0,0,0,0,1,0,0
2020-11-28,france_vs_italy,9,France,Baptiste Serin,1,0,0,0,0,46,0,1,2,5,9,0,1,7,0,0,0,0,0,0,0,0
2020-11-28,france_vs_italy,10,France,Matthieu Jalibert,0,9,5,0,0,7,1,0,0,11,8,2,1,17,4,1,0,0,0,0,0,0
2020-11-28,france_vs_italy,11,France,Gabin Villière,1,49,4,0,1,1,1,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0
2020-11-28,france_vs_italy,12,France,Jonathan Danty,1,27,8,0,0,1,0,0,0,5,5,0,1,0,0,0,0,1,0,0,0,0
2020-11-28,france_vs_italy,13,France,Jean Pascal Barraque,0,0,0,0,0,1,0,1,0,0,7,1,0,2,0,0,0,0,0,0,0,0
2020-11-28,france_vs_italy,14,France,Teddy Thomas,1,32,2,2,1,3,0,0,0,5,2,2,0,4,0,0,0,0,0,0,0,0
2020-11-28,france_vs_italy,15,France,Brice Dulin,0,26,9,2,0,12,1,1,1,0,2,0,0,12,0,0,0,0,0,0,0,0
2020-11-28,france_vs_italy,16,France,Teddy Baubigny,0,1,1,0,0,1,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0
2020-11-28,france_vs_italy,17,France,Hassane Kolingar,0,12,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-11-28,france_vs_italy,18,France,Uini Atonio,0,4,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2020-11-28,france_vs_italy,19,France,Cyril Cazeaux,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2020-11-28,france_vs_italy,20,France,Swan Rebbadj,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-11-28,france_vs_italy,21,France,Baptiste Couilloud,0,5,2,0,0,26,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0
2020-11-28,france_vs_italy,22,France,Louis Carbonel,0,2,1,0,0,5,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0
2020-11-28,france_vs_italy,23,France,Yoram Moefana,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-11-28,france_vs_italy,1,Italy,Danilo Fischetti,0,4,8,0,0,4,1,0,0,0,4,2,0,0,0,0,0,1,0,0,0,0
2020-11-28,france_vs_italy,2,Italy,Luca Bigi,0,1,5,0,0,1,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0
2020-11-28,france_vs_italy,3,Italy,Giosue Zilocchi,0,1,8,0,0,0,0,1,0,0,8,0,0,0,0,0,0,0,0,1,0,0
2020-11-28,france_vs_italy,4,Italy,Marco Lazzaroni,0,6,6,0,0,3,0,1,0,0,2,0,0,0,0,0,0,3,0,0,0,0
2020-11-28,france_vs_italy,5,Italy,Niccolo Cannone,0,9,8,0,0,3,0,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0
2020-11-28,france_vs_italy,6,Italy,Maxime Mbanda,0,7,8,0,0,1,0,1,0,0,4,1,1,0,0,0,0,0,0,1,0,0
2020-11-28,france_vs_italy,7,Italy,Johan Meyer,0,8,6,0,0,0,0,0,0,0,7,1,2,0,0,0,0,2,0,0,0,0
2020-11-28,france_vs_italy,8,Italy,Braam Steyn,0,12,9,0,0,2,0,0,0,0,5,0,1,0,0,0,0,2,0,0,0,0
2020-11-28,france_vs_italy,9,Italy,Marcello Violi,0,1,2,0,0,80,0,1,0,0,2,0,0,1,0,0,0,0,0,1,0,0
2020-11-28,france_vs_italy,10,Italy,Paolo Garbisi,0,17,5,0,0,22,2,3,1,0,4,0,0,18,0,0,0,0,0,0,0,0
2020-11-28,france_vs_italy,11,Italy,Luca Sperandio,0,24,8,0,0,3,1,2,0,0,4,3,1,0,0,0,0,0,0,3,0,0
2020-11-28,france_vs_italy,12,Italy,Carlo Canna,1,13,6,0,1,3,0,1,0,5,3,0,0,0,0,0,0,0,0,0,0,0
2020-11-28,france_vs_italy,13,Italy,Marco Zanon,0,12,6,0,0,4,2,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0
2020-11-28,france_vs_italy,14,Italy,Jacopo Trulla,0,4,2,0,0,3,1,2,0,0,2,3,0,3,0,0,0,0,0,0,0,0
2020-11-28,france_vs_italy,15,Italy,Matteo Minozzi,0,7,4,0,0,8,1,2,0,0,0,0,0,9,0,0,0,0,0,0,0,0
2020-11-28,france_vs_italy,16,Italy,Leonardo Ghiraldini,0,2,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
2020-11-28,france_vs_italy,17,Italy,Simone Ferrari,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2020-11-28,france_vs_italy,18,Italy,Pietro Ceccarelli,0,2,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
2020-11-28,france_vs_italy,19,Italy,Cristian Stoian,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
2020-11-28,france_vs_italy,20,Italy,Michele Lamaro,0,8,1,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0
2020-11-28,france_vs_italy,21,Italy,Stephen Varney,0,0,0,0,0,7,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0
2020-11-28,france_vs_italy,22,Italy,Tommaso Allan,0,0,0,0,0,4,0,0,0,0,2,0,0,8,0,0,0,0,0,0,0,0
2020-11-28,france_vs_italy,23,Italy,Federico Mori,0,8,4,0,0,2,1,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0
