date,match,position,country,player,try_scored,ball_carry_meters,ball_carry,beat_defender,line_break,passes,offload,total_turnovers_conceded,try_assist,points_scored,tackle_made,tackle_missed,total_turnovers_gained,kicks_from_hand,conversion_successful,penalty_goal_successful,drop_kick_successful,lineout_won_own_throw,lineout_won_steal,penalties_conceded,red_card,yellow_card
2020-11-29,ireland_vs_georgia,1,Ireland,Finlay Bealham,0,8,4,2,0,1,0,0,0,0,9,0,1,0,0,0,0,0,0,3,0,0
2020-11-29,ireland_vs_georgia,2,Ireland,Rob Herring,0,8,9,0,0,2,0,1,0,0,6,1,1,0,0,0,0,0,0,1,0,0
2020-11-29,ireland_vs_georgia,3,Ireland,Andrew Porter,0,-1,1,0,0,2,0,0,0,0,4,2,0,0,0,0,0,0,0,1,0,0
2020-11-29,ireland_vs_georgia,4,Ireland,Iain Henderson,0,10,5,1,0,6,0,1,0,0,6,1,4,0,0,0,0,0,3,1,0,0
2020-11-29,ireland_vs_georgia,5,Ireland,James Ryan,0,7,4,0,0,4,0,1,0,0,4,0,1,0,0,0,0,0,1,0,0,0
2020-11-29,ireland_vs_georgia,6,Ireland,Tadhg Beirne,0,13,6,0,0,2,0,1,0,0,1,2,1,0,0,0,0,8,0,0,0,0
2020-11-29,ireland_vs_georgia,7,Ireland,Will Connors,0,8,8,0,0,5,2,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0
2020-11-29,ireland_vs_georgia,8,Ireland,CJ Stander,0,31,21,3,1,3,0,3,0,0,4,0,1,0,0,0,0,3,0,1,0,0
2020-11-29,ireland_vs_georgia,9,Ireland,Conor Murray,0,9,6,1,0,56,0,1,0,0,2,0,0,7,0,0,0,0,0,0,0,0
2020-11-29,ireland_vs_georgia,10,Ireland,Billy Burns,1,8,3,1,1,13,0,0,0,15,1,3,0,3,2,2,0,0,0,0,0,0
2020-11-29,ireland_vs_georgia,11,Ireland,Keith Earls,0,7,3,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0
2020-11-29,ireland_vs_georgia,12,Ireland,Stuart McCloskey,0,90,23,3,1,12,0,2,0,0,4,0,1,3,0,0,0,0,0,0,0,0
2020-11-29,ireland_vs_georgia,13,Ireland,Chris Farrell,0,21,11,1,0,10,0,3,1,0,2,0,2,1,0,0,0,0,0,1,0,0
2020-11-29,ireland_vs_georgia,14,Ireland,Hugo Keenan,1,9,7,0,1,4,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0
2020-11-29,ireland_vs_georgia,15,Ireland,Jacob Stockdale,0,25,11,2,1,6,0,1,1,0,3,0,0,5,0,0,0,0,0,0,0,0
2020-11-29,ireland_vs_georgia,16,Ireland,David Heffernan,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
2020-11-29,ireland_vs_georgia,17,Ireland,Cian Healy,0,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-11-29,ireland_vs_georgia,18,Ireland,John Ryan,0,9,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2020-11-29,ireland_vs_georgia,19,Ireland,Quinn Roux,0,7,6,0,0,3,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0
2020-11-29,ireland_vs_georgia,20,Ireland,Peter O'Mahony,0,5,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
2020-11-29,ireland_vs_georgia,21,Ireland,Kieran Marmion,0,1,3,0,0,36,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2020-11-29,ireland_vs_georgia,22,Ireland,Ross Byrne,0,4,3,0,0,19,1,0,0,3,1,0,0,1,0,1,0,0,0,0,0,0
2020-11-29,ireland_vs_georgia,23,Ireland,Shane Daly,0,6,2,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2020-11-29,ireland_vs_georgia,1,Georgia,Mikheil Nariashvili,0,0,1,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,2,0,0
2020-11-29,ireland_vs_georgia,2,Georgia,Shalva Mamukashvili,0,0,2,0,0,2,0,2,0,0,9,1,0,0,0,0,0,0,0,2,0,0
2020-11-29,ireland_vs_georgia,3,Georgia,Beka Gigashvili,0,-1,2,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,1,0,0
2020-11-29,ireland_vs_georgia,4,Georgia,Nodar Tcheishvili,0,-1,3,0,0,0,0,2,0,0,6,0,0,0,0,0,0,3,0,0,0,0
