date,match,position,country,player,try_scored,ball_carry_meters,ball_carry,beat_defender,line_break,passes,offload,total_turnovers_conceded,try_assist,points_scored,tackle_made,tackle_missed,total_turnovers_gained,kicks_from_hand,conversion_successful,penalty_goal_successful,drop_kick_successful,lineout_won_own_throw,lineout_won_steal,penalties_conceded,red_card,yellow_card
2020-11-28,wales_vs_england,1,Wales,Wyn Jones,0,-1,1,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,4,0,0
2020-11-28,wales_vs_england,2,Wales,Ryan Elias,0,0,0,0,0,1,0,3,0,0,9,0,1,0,0,0,0,0,0,4,0,0
2020-11-28,wales_vs_england,3,Wales,Samson Lee,0,0,0,0,0,1,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0
2020-11-28,wales_vs_england,4,Wales,Jake Ball,0,0,4,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0
2020-11-28,wales_vs_england,5,Wales,Alun Wyn Jones,0,1,2,0,0,4,0,3,0,0,16,1,0,0,0,0,0,3,0,0,0,0
2020-11-28,wales_vs_england,6,Wales,Shane Lewis-Hughes,0,0,2,0,0,1,0,0,0,0,13,0,0,0,0,0,0,1,0,2,0,0
2020-11-28,wales_vs_england,7,Wales,James Botham,0,1,7,0,0,1,0,1,0,0,23,1,0,0,0,0,0,2,0,0,0,0
2020-11-28,wales_vs_england,8,Wales,Taulupe Faletau,0,12,9,0,0,1,0,2,0,0,9,0,0,0,0,0,0,3,0,0,0,0
2020-11-28,wales_vs_england,9,Wales,Lloyd Williams,0,0,0,0,0,30,0,0,0,0,3,1,0,4,0,0,0,0,0,0,0,0
2020-11-28,wales_vs_england,10,Wales,Dan Biggar,0,-2,3,0,0,9,0,2,0,8,7,0,1,8,1,2,0,0,0,0,0,0
2020-11-28,wales_vs_england,11,Wales,Josh Adams,0,2,2,0,0,0,0,1,0,0,7,2,1,0,0,0,0,0,0,0,0,0
2020-11-28,wales_vs_england,12,Wales,Johnny Williams,1,0,6,0,0,2,0,0,0,5,9,0,1,0,0,0,0,0,0,0,0,0
2020-11-28,wales_vs_england,13,Wales,Nick Tompkins,0,5,3,0,0,6,2,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0
2020-11-28,wales_vs_england,14,Wales,Louis Rees-Zammit,0,3,2,0,0,1,0,1,0,0,6,0,1,2,0,0,0,0,0,2,0,0
2020-11-28,wales_vs_england,15,Wales,Leigh Halfpenny,0,12,6,0,0,2,0,1,0,0,4,0,0,5,0,0,0,0,0,0,0,0
2020-11-28,wales_vs_england,16,Wales,Elliot Dee,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,1,0,0
2020-11-28,wales_vs_england,17,Wales,Rhys Carre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
2020-11-28,wales_vs_england,18,Wales,Tomas Francis,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
2020-11-28,wales_vs_england,19,Wales,Will Rowlands,0,6,2,0,0,1,0,1,0,0,2,0,0,0,0,0,0,2,0,0,0,0
2020-11-28,wales_vs_england,20,Wales,Aaron Wainwright,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,1,0,0,0,0
