date,match,position,country,player,try_scored,ball_carry_meters,ball_carry,beat_defender,line_break,passes,offload,total_turnovers_conceded,try_assist,points_scored,tackle_made,tackle_missed,total_turnovers_gained,kicks_from_hand,conversion_successful,penalty_goal_successful,drop_kick_successful,lineout_won_own_throw,lineout_won_steal,penalties_conceded,red_card,yellow_card
2020-12-05,georgia_vs_fiji,1,Georgia,Mikheil Nariashvili,0,2,3,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0
2020-12-05,georgia_vs_fiji,2,Georgia,Shalva Mamukashvili,0,6,4,0,0,2,0,2,0,0,10,2,0,0,0,0,0,0,0,2,0,0
2020-12-05,georgia_vs_fiji,3,Georgia,Beka Gigashvili,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-12-05,georgia_vs_fiji,4,Georgia,Lasha Jaiani,0,5,5,0,0,0,0,0,0,0,14,0,0,0,0,0,0,5,0,1,0,0
2020-12-05,georgia_vs_fiji,5,Georgia,Konstantin Mikautadze,0,5,4,0,0,0,0,1,0,0,11,1,0,0,0,0,0,1,0,1,0,0
2020-12-05,georgia_vs_fiji,6,Georgia,Otar Giorgadze,0,9,6,0,0,0,0,2,0,0,7,3,0,0,0,0,0,0,0,1,0,0
2020-12-05,georgia_vs_fiji,7,Georgia,Beka Saghinadze,2,18,9,2,1,0,0,1,0,10,13,1,0,0,0,0,0,3,0,0,0,0
2020-12-05,georgia_vs_fiji,8,Georgia,Tornike Jalagonia,0,31,9,5,1,2,0,2,0,0,16,0,1,0,0,0,0,0,0,1,0,0
2020-12-05,georgia_vs_fiji,9,Georgia,Vasil Lobzhanidze,0,2,1,0,0,23,0,2,0,0,7,3,0,6,0,0,0,0,0,0,0,0
2020-12-05,georgia_vs_fiji,10,Georgia,Tedo Abzhandadze,0,2,3,0,0,11,0,2,0,9,4,3,0,2,3,1,0,0,0,0,0,0
2020-12-05,georgia_vs_fiji,11,Georgia,Alexander Todua,0,8,3,1,0,0,0,2,0,0,6,2,0,0,0,0,0,0,0,0,0,0
2020-12-05,georgia_vs_fiji,12,Georgia,Merab Sharikadze,0,19,10,0,0,6,2,2,0,0,10,1,0,0,0,0,0,0,0,1,0,0
2020-12-05,georgia_vs_fiji,13,Georgia,Giorgi Kveseladze,0,4,2,0,0,4,0,0,0,0,7,4,0,0,0,0,0,0,0,0,0,0
