date,match,position,country,player,try_scored,ball_carry_meters,ball_carry,beat_defender,line_break,passes,offload,total_turnovers_conceded,try_assist,points_scored,tackle_made,tackle_missed,total_turnovers_gained,kicks_from_hand,conversion_successful,penalty_goal_successful,drop_kick_successful,lineout_won_own_throw,lineout_won_steal,penalties_conceded,red_card,yellow_card
2020-12-05,ireland_vs_scotland,1,Ireland,Cian Healy,1,7,7,0,0,3,0,1,0,5,7,4,0,0,0,0,0,0,0,2,0,0
2020-12-05,ireland_vs_scotland,2,Ireland,Rob Herring,0,2,3,0,0,0,0,1,0,0,11,2,0,0,0,0,0,0,0,1,0,0
2020-12-05,ireland_vs_scotland,3,Ireland,Andrew Porter,0,13,7,0,0,3,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0
2020-12-05,ireland_vs_scotland,4,Ireland,Iain Henderson,0,5,2,0,0,3,0,0,0,0,7,0,0,0,0,0,0,1,0,1,0,0
2020-12-05,ireland_vs_scotland,5,Ireland,James Ryan,0,16,9,0,0,0,0,2,0,0,8,0,0,0,0,0,0,4,0,2,0,0
2020-12-05,ireland_vs_scotland,6,Ireland,CJ Stander,0,24,13,0,0,2,0,0,0,0,7,1,1,0,0,0,0,0,0,1,0,0
2020-12-05,ireland_vs_scotland,7,Ireland,Peter O'Mahony,0,22,10,1,0,2,0,1,1,0,8,2,0,1,0,0,0,3,0,0,0,0
2020-12-05,ireland_vs_scotland,8,Ireland,Caelan Doris,0,35,13,0,0,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
2020-12-05,ireland_vs_scotland,9,Ireland,Conor Murray,0,2,2,0,0,87,0,0,0,0,5,1,0,11,0,0,0,0,0,1,0,0
2020-12-05,ireland_vs_scotland,10,Ireland,Johnny Sexton,0,0,0,4,0,16,0,0,0,10,8,0,1,7,2,2,0,0,0,0,0,0
2020-12-05,ireland_vs_scotland,11,Ireland,Keith Earls,2,13,4,0,1,1,0,0,0,10,4,2,0,1,0,0,0,0,0,0,0,0
2020-12-05,ireland_vs_scotland,12,Ireland,Bundee Aki,0,19,9,0,0,5,1,0,0,0,6,2,0,0,0,0,0,1,0,0,0,0
2020-12-05,ireland_vs_scotland,13,Ireland,Robbie Henshaw,0,16,7,0,0,8,1,1,0,0,9,0,0,1,0,0,0,0,0,0,0,0
2020-12-05,ireland_vs_scotland,14,Ireland,Hugo Keenan,0,5,2,0,0,2,0,1,0,0,6,0,0,3,0,0,0,0,0,0,0,0
2020-12-05,ireland_vs_scotland,15,Ireland,Jacob Stockdale,0,30,12,0,0,3,0,1,0,0,1,1,0,2,0,0,0,0,0,0,0,0
2020-12-05,ireland_vs_scotland,16,Ireland,Ronan Kelleher,0,6,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2020-12-05,ireland_vs_scotland,17,Ireland,Eric O'Sullivan,0,6,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2020-12-05,ireland_vs_scotland,18,Ireland,John Ryan,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-12-05,ireland_vs_scotland,19,Ireland,Quinn Roux,0,6,4,0,0,0,0,0,0,0,9,0,1,0,0,0,0,2,0,1,0,0
2020-12-05,ireland_vs_scotland,20,Ireland,Josh Van Der Flier,0,10,3,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,1,0,0
2020-12-05,ireland_vs_scotland,21,Ireland,Jamison Gibson-Park,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-05,ireland_vs_scotland,22,Ireland,Ross Byrne,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0
2020-12-05,ireland_vs_scotland,23,Ireland,Chris Farrell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-05,ireland_vs_scotland,1,Scotland,Rory Sutherland,0,-1,5,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
2020-12-05,ireland_vs_scotland,2,Scotland,Fraser Brown,0,3,3,0,0,2,0,1,0,0,14,0,1,0,0,0,0,0,0,2,0,0
2020-12-05,ireland_vs_scotland,3,Scotland,Zander Fagerson,0,1,6,0,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,2,0,0
2020-12-05,ireland_vs_scotland,4,Scotland,Scott Cummings,0,1,4,0,0,0,0,0,0,0,7,4,0,0,0,0,0,1,0,0,0,0
2020-12-05,ireland_vs_scotland,5,Scotland,Jonny Gray,0,1,8,0,0,2,0,1,0,0,19,1,0,0,0,0,0,2,0,1,0,0
2020-12-05,ireland_vs_scotland,6,Scotland,Blade Thomson,0,1,2,0,0,2,0,1,0,0,11,0,0,0,0,0,0,1,0,0,0,0
2020-12-05,ireland_vs_scotland,7,Scotland,Jamie Ritchie,0,0,5,0,0,3,0,1,0,0,12,2,1,0,0,0,0,0,0,3,0,0
2020-12-05,ireland_vs_scotland,8,Scotland,Matt Fagerson,0,5,14,1,0,3,0,0,0,0,14,0,0,0,0,0,0,1,0,1,0,0
2020-12-05,ireland_vs_scotland,9,Scotland,Ali Price,0,4,3,0,0,61,0,1,0,0,2,1,1,8,0,0,0,0,0,1,0,0
2020-12-05,ireland_vs_scotland,10,Scotland,Jaco Van Der Walt,0,9,5,1,0,17,0,2,0,11,11,1,0,4,1,3,0,0,0,0,0,0
2020-12-05,ireland_vs_scotland,11,Scotland,Duhan Van Der Merwe,1,36,6,3,2,1,1,1,0,5,3,3,0,0,0,0,0,0,0,0,0,0
2020-12-05,ireland_vs_scotland,12,Scotland,Duncan Taylor,0,5,4,0,0,4,0,0,0,0,8,1,0,0,0,0,0,0,0,1,0,1
2020-12-05,ireland_vs_scotland,13,Scotland,Chris Harris,0,4,5,0,0,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
2020-12-05,ireland_vs_scotland,14,Scotland,Darcy Graham,0,0,2,0,0,1,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0
2020-12-05,ireland_vs_scotland,15,Scotland,Stuart Hogg,0,17,9,6,1,14,4,3,0,0,2,0,0,5,0,0,0,0,0,0,0,0
2020-12-05,ireland_vs_scotland,16,Scotland,George Turner,0,1,1,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0
2020-12-05,ireland_vs_scotland,17,Scotland,Oli Kebble,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0
2020-12-05,ireland_vs_scotland,18,Scotland,WP Nel,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0
2020-12-05,ireland_vs_scotland,19,Scotland,Sam Skinner,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0
2020-12-05,ireland_vs_scotland,20,Scotland,Blair Cowan,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0
2020-12-05,ireland_vs_scotland,21,Scotland,Sam Hidalgo-Clyne,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-12-05,ireland_vs_scotland,22,Scotland,Huw Jones,0,0,1,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
2020-12-05,ireland_vs_scotland,23,Scotland,Sean Maitland,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
