date,match,position,country,player,try_scored,ball_carry_meters,ball_carry,beat_defender,line_break,passes,offload,total_turnovers_conceded,try_assist,points_scored,tackle_made,tackle_missed,total_turnovers_gained,kicks_from_hand,conversion_successful,penalty_goal_successful,drop_kick_successful,lineout_won_own_throw,lineout_won_steal,penalties_conceded,red_card,yellow_card
2020-12-06,england_vs_france,1,England,Ellis Genge,0,11,7,0,0,2,1,1,0,0,11,3,0,0,0,0,0,0,0,0,0,0
2020-12-06,england_vs_france,2,England,Jamie George,0,2,1,0,0,0,0,1,0,0,5,4,0,0,0,0,0,0,0,0,0,0
2020-12-06,england_vs_france,3,England,Kyle Sinckler,0,7,7,0,0,4,1,1,0,0,9,1,0,0,0,0,0,0,0,0,0,0
2020-12-06,england_vs_france,4,England,Maro Itoje,0,5,4,0,0,2,0,0,0,0,11,1,2,0,0,0,0,4,0,0,0,0
2020-12-06,england_vs_france,5,England,Joe Launchbury,0,4,3,0,0,0,0,0,0,0,5,1,0,0,0,0,0,3,0,0,0,0
2020-12-06,england_vs_france,6,England,Tom Curry,0,14,8,1,0,4,1,1,0,0,15,2,1,0,0,0,0,0,0,1,0,0
2020-12-06,england_vs_france,7,England,Sam Underhill,0,2,1,0,0,1,0,0,0,0,13,2,1,0,0,0,0,0,0,2,0,0
2020-12-06,england_vs_france,8,England,Billy Vunipola,0,22,14,1,0,4,1,2,0,0,11,4,0,0,0,0,0,0,0,0,0,0
2020-12-06,england_vs_france,9,England,Ben Youngs,0,6,4,0,0,51,1,0,0,0,1,1,0,10,0,0,0,0,0,0,0,0
2020-12-06,england_vs_france,10,England,George Ford,0,13,6,2,0,33,0,1,0,0,2,1,0,20,0,0,0,0,0,0,0,0
2020-12-06,england_vs_france,11,England,Jonny May,0,15,11,1,1,6,2,1,0,0,3,2,0,2,0,0,0,0,0,0,0,0
2020-12-06,england_vs_france,12,England,Owen Farrell,0,12,6,4,0,7,0,0,0,14,4,2,1,2,1,4,0,0,0,0,0,0
