date,match,position,country,player,try_scored,ball_carry_meters,ball_carry,beat_defender,line_break,passes,offload,total_turnovers_conceded,try_assist,points_scored,tackle_made,tackle_missed,total_turnovers_gained,kicks_from_hand,conversion_successful,penalty_goal_successful,drop_kick_successful,lineout_won_own_throw,lineout_won_steal,penalties_conceded,red_card,yellow_card
2020-12-05,wales_vs_italy,1,Wales,Nicky Smith,0,1,5,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
2020-12-05,wales_vs_italy,1,Wales,Wyn Jones,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2020-12-05,wales_vs_italy,2,Wales,Ryan Elias,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2020-12-05,wales_vs_italy,2,Wales,Sam Parry,1,2,4,0,0,2,0,1,0,5,8,0,1,0,0,0,0,0,0,0,0,0
2020-12-05,wales_vs_italy,3,Wales,Samson Lee,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-05,wales_vs_italy,3,Wales,Tomas Francis,0,2,4,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0
2020-12-05,wales_vs_italy,4,Wales,Jake Ball,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-12-05,wales_vs_italy,4,Wales,Will Rowlands,0,6,6,0,0,2,0,0,0,0,7,0,0,0,0,0,0,4,0,1,0,0
2020-12-05,wales_vs_italy,5,Wales,Alun Wyn Jones,0,9,7,0,0,7,2,0,0,0,7,1,4,0,0,0,0,2,2,1,0,0
2020-12-05,wales_vs_italy,6,Wales,Shane Lewis-Hughes,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2020-12-05,wales_vs_italy,7,Wales,Justin Tipuric,1,0,1,0,0,4,0,0,0,5,12,0,1,0,0,0,0,2,1,0,0,0
2020-12-05,wales_vs_italy,7,Wales,James Botham,0,22,5,0,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0
2020-12-05,wales_vs_italy,8,Wales,Taulupe Faletau,0,26,17,0,0,6,0,1,2,0,6,0,1,1,0,0,0,0,0,0,0,0
2020-12-05,wales_vs_italy,9,Wales,Lloyd Williams,0,4,1,0,0,10,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2020-12-05,wales_vs_italy,9,Wales,Kieran Hardy,1,-2,4,0,0,35,0,0,0,5,0,1,0,5,0,0,0,0,0,0,0,0
2020-12-05,wales_vs_italy,10,Wales,Callum Sheedy,0,3,3,0,0,20,0,2,0,13,2,0,0,8,5,1,0,0,0,2,0,0
2020-12-05,wales_vs_italy,10,Wales,Dan Biggar,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-05,wales_vs_italy,11,Wales,Louis Rees-Zammit,0,40,4,0,1,1,0,1,0,0,4,0,0,2,0,0,0,0,0,0,0,0
2020-12-05,wales_vs_italy,12,Wales,Johnny Williams,0,9,4,0,0,7,0,1,0,0,5,1,0,1,0,0,0,0,0,0,0,0
2020-12-05,wales_vs_italy,13,Wales,Nick Tompkins,0,5,4,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,2,0,0
2020-12-05,wales_vs_italy,13,Wales,George North,1,15,8,2,0,1,0,1,0,5,6,0,0,0,0,0,0,0,0,1,0,0
2020-12-05,wales_vs_italy,14,Wales,Josh Adams,0,4,1,0,0,4,0,0,0,0,2,0,2,1,0,0,0,0,0,2,0,1
2020-12-05,wales_vs_italy,15,Wales,Leigh Halfpenny,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-05,wales_vs_italy,15,Wales,Liam Williams,0,5,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
2020-12-05,wales_vs_italy,16,Wales,Elliot Dee,0,1,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2020-12-05,wales_vs_italy,18,Wales,Leon Brown,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0
2020-12-05,wales_vs_italy,19,Wales,Cory Hill,0,2,3,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,1,0,0
2020-12-05,wales_vs_italy,20,Wales,Aaron Wainwright,0,2,3,0,0,1,0,0,0,0,3,0,1,0,0,0,0,0,1,0,0,0
2020-12-05,wales_vs_italy,21,Wales,Gareth Davies,1,1,1,0,0,24,0,1,0,5,2,1,0,3,0,0,0,0,0,0,0,0
2020-12-05,wales_vs_italy,22,Wales,Ioan Lloyd,0,20,4,0,0,0,0,0,0,0,1,2,0,4,0,0,0,0,0,0,0,0
2020-12-05,wales_vs_italy,23,Wales,Jonah Holmes,0,13,3,0,0,1,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0
2020-12-05,wales_vs_italy,1,Italy,Danilo Fischetti,0,7,5,0,0,7,2,1,0,0,6,1,0,0,0,0,0,0,0,2,0,0
2020-12-05,wales_vs_italy,2,Italy,Luca Bigi,0,5,6,0,0,1,0,3,0,0,13,1,0,0,0,0,0,0,0,2,0,0
2020-12-05,wales_vs_italy,3,Italy,Giosue Zilocchi,0,3,7,0,0,2,0,1,0,0,15,3,1,0,0,0,0,0,0,2,0,0
2020-12-05,wales_vs_italy,4,Italy,Marco Lazzaroni,0,4,6,0,0,2,0,0,0,0,5,0,0,0,0,0,0,2,0,1,0,0
2020-12-05,wales_vs_italy,5,Italy,Niccolo Cannone,0,7,5,0,0,1,0,0,0,0,9,3,1,0,0,0,0,1,1,0,0,0
2020-12-05,wales_vs_italy,6,Italy,Maxime Mbanda,0,5,4,0,0,2,0,0,0,0,9,2,0,0,0,0,0,0,0,1,0,0
2020-12-05,wales_vs_italy,7,Italy,Johan Meyer,1,43,10,1,1,2,1,0,0,5,13,2,0,0,0,0,0,2,0,0,0,0
2020-12-05,wales_vs_italy,8,Italy,Braam Steyn,0,10,7,1,0,1,1,1,0,0,11,2,1,0,0,0,0,3,0,0,0,0
2020-12-05,wales_vs_italy,9,Italy,Stephen Varney,0,50,1,1,1,47,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0
2020-12-05,wales_vs_italy,9,Italy,Marcello Violi,0,2,1,0,0,11,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0
2020-12-05,wales_vs_italy,10,Italy,Paolo Garbisi,0,10,9,0,0,11,1,1,0,8,5,0,0,12,1,2,0,0,0,0,0,0
2020-12-05,wales_vs_italy,11,Italy,Luca Sperandio,0,25,7,3,0,3,0,0,1,0,3,1,0,0,0,0,0,0,0,2,0,0
2020-12-05,wales_vs_italy,11,Italy,Monty Ioane,0,31,10,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-05,wales_vs_italy,12,Italy,Carlo Canna,0,3,2,0,0,14,0,1,1,0,12,0,0,1,0,0,0,0,0,0,0,0
2020-12-05,wales_vs_italy,13,Italy,Marco Zanon,1,12,3,2,0,1,0,0,0,5,12,0,0,1,0,0,0,0,0,1,0,0
2020-12-05,wales_vs_italy,14,Italy,Jacopo Trulla,0,36,3,1,1,7,0,2,0,0,5,1,1,2,0,0,0,0,0,0,0,0
2020-12-05,wales_vs_italy,15,Italy,Matteo Minozzi,0,2,1,0,0,0,0,1,0,0,5,4,0,1,0,0,0,0,0,0,0,0
