date,match,position,country,player,tries,carries_metres,runs,defenders_beaten,clean_breaks,passes,offload,turnovers_conceded,try_assist,points,tackles,missed_tackles,turnover_won,kicks_from_hand,conversion_goals,penalty_goals,drop_goals_converted,lineout_throw_won_clean,lineouts_won,lineout_won_steal,penalties_conceded,red_cards,yellow_cards
2018-11-03,england_vs_south_africa,1,England,Alec Hepburn,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
2018-11-03,england_vs_south_africa,2,England,Dylan Hartley,0,0,0,0,0,4,0,0,0,0,9,2,1,0,0,0,0,3,3,1,1,0,0
2018-11-03,england_vs_south_africa,3,England,Kyle Sinckler,0,14,6,1,0,9,0,0,0,0,10,1,0,0,0,0,0,0,0,0,2,0,0
2018-11-03,england_vs_south_africa,4,England,Maro Itoje,0,23,5,2,1,5,0,1,0,0,15,0,1,0,0,0,0,0,0,0,3,0,1
2018-11-03,england_vs_south_africa,5,England,George Kruis,0,4,6,2,0,3,0,1,0,0,11,1,0,0,0,0,0,0,0,1,2,0,0
2018-11-03,england_vs_south_africa,6,England,Brad Shields,0,22,9,0,1,4,0,1,0,0,11,0,2,0,0,0,0,0,0,0,1,0,0
2018-11-03,england_vs_south_africa,7,England,Tom Curry,0,10,7,0,0,1,0,0,0,0,6,1,0,0,0,0,0,0,0,1,0,0,0
2018-11-03,england_vs_south_africa,8,England,Mark Wilson,0,19,11,2,0,4,0,0,0,0,14,1,1,0,0,0,0,0,0,0,0,0,0
2018-11-03,england_vs_south_africa,9,England,Ben Youngs,0,12,3,0,1,48,1,0,0,0,6,0,0,14,0,0,0,0,0,0,0,0,0
2018-11-03,england_vs_south_africa,10,England,Owen Farrell,0,6,4,3,1,29,1,0,0,9,8,2,1,7,0,3,0,0,0,0,0,0,0
2018-11-03,england_vs_south_africa,11,England,Jonny May,0,51,10,4,2,3,1,6,0,0,5,3,2,0,0,0,0,0,0,0,0,0,0
2018-11-03,england_vs_south_africa,12,England,Ben Te'o,0,4,8,0,0,5,0,0,0,0,8,3,0,0,0,0,0,0,0,0,1,0,0
2018-11-03,england_vs_south_africa,13,England,Henry Slade,0,21,5,1,2,3,1,1,0,0,6,7,0,3,0,0,0,0,0,0,0,0,0
2018-11-03,england_vs_south_africa,14,England,Jack Nowell,0,54,5,1,2,1,1,0,0,0,6,0,2,1,0,0,0,0,0,0,0,0,0
2018-11-03,england_vs_south_africa,15,England,Elliot Daly,0,55,11,3,3,6,3,1,0,3,2,0,0,6,0,1,0,0,0,0,0,0,0
2018-11-03,england_vs_south_africa,16,England,Jamie George,0,0,2,0,0,1,0,0,0,0,6,0,0,0,0,0,0,2,3,0,0,0,0
2018-11-03,england_vs_south_africa,17,England,Ben Moon,0,0,1,0,0,2,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0
2018-11-03,england_vs_south_africa,18,England,Harry Williams,0,0,1,0,0,1,0,0,0,0,6,0,0,1,0,0,0,0,0,0,1,0,0
2018-11-03,england_vs_south_africa,19,England,Charlie Ewels,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
2018-11-03,england_vs_south_africa,20,England,Zach Mercer,0,24,7,0,0,2,0,0,0,0,10,1,1,0,0,0,0,0,0,0,0,0,0
2018-11-03,england_vs_south_africa,21,England,Danny Care,0,0,1,0,0,12,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0
2018-11-03,england_vs_south_africa,22,England,George Ford,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2018-11-03,england_vs_south_africa,23,England,Chris Ashton,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
