date,match,position,country,player,try_scored,ball_carry_meters,ball_carry,beat_defender,line_break,passes,offload,total_turnovers_conceded,try_assist,points_scored,tackle_made,tackle_missed,total_turnovers_gained,kicks_from_hand,conversion_successful,penalty_goal_successful,drop_kick_successful,lineout_won_own_throw,lineout_won_steal,penalties_conceded,red_card,yellow_card
2020-11-13,ireland_vs_wales,1,Wales,Rhys Carre,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0
2020-11-13,ireland_vs_wales,2,Wales,Ryan Elias,0,7,4,0,0,0,0,3,0,0,5,0,1,0,0,0,0,0,0,0,0,0
2020-11-13,ireland_vs_wales,3,Wales,Tomas Francis,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
2020-11-13,ireland_vs_wales,4,Wales,Will Rowlands,0,3,2,0,0,0,0,0,0,0,11,0,0,0,0,0,0,1,0,0,0,0
2020-11-13,ireland_vs_wales,5,Wales,Alun Wyn Jones,0,4,3,0,0,0,0,0,0,0,11,0,1,0,0,0,0,2,0,0,0,0
2020-11-13,ireland_vs_wales,6,Wales,Shane Lewis-Hughes,0,5,3,0,0,0,0,1,0,0,10,1,2,0,0,0,0,6,0,1,0,0
2020-11-13,ireland_vs_wales,7,Wales,Justin Tipuric,0,14,3,0,1,5,0,0,0,0,11,3,1,0,0,0,0,0,0,2,0,0
2020-11-13,ireland_vs_wales,8,Wales,Taulupe Faletau,0,9,8,4,0,2,0,0,0,0,12,0,1,0,0,0,0,0,0,1,0,0
2020-11-13,ireland_vs_wales,9,Wales,Gareth Davies,0,-1,2,0,0,18,1,2,0,0,4,0,1,6,0,0,0,0,0,1,0,0
2020-11-13,ireland_vs_wales,10,Wales,Dan Biggar,0,2,4,0,0,22,1,0,0,0,4,2,0,6,0,0,0,0,0,0,0,0
2020-11-13,ireland_vs_wales,11,Wales,Josh Adams,0,14,6,2,0,3,0,1,0,0,5,1,1,0,0,0,0,0,0,0,0,0
2020-11-13,ireland_vs_wales,12,Wales,Owen Watkin,0,12,6,0,0,8,1,0,0,0,12,0,0,0,0,0,0,0,0,2,0,0
2020-11-13,ireland_vs_wales,13,Wales,Jonathan Davies,0,7,4,0,0,2,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0
2020-11-13,ireland_vs_wales,14,Wales,Liam Williams,0,2,1,0,0,2,0,1,0,0,5,1,0,0,0,0,0,0,0,2,0,0
2020-11-13,ireland_vs_wales,15,Wales,Leigh Halfpenny,0,10,7,0,0,2,0,1,0,9,6,0,0,5,0,3,0,0,0,1,0,0
2020-11-13,ireland_vs_wales,16,Wales,Elliot Dee,0,6,3,1,0,1,0,1,0,0,4,0,0,0,0,0,0,0,0,1,0,0
2020-11-13,ireland_vs_wales,17,Wales,Wyn Jones,0,4,2,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,2,0,0
2020-11-13,ireland_vs_wales,18,Wales,Samson Lee,0,1,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
2020-11-13,ireland_vs_wales,19,Wales,Jake Ball,0,11,6,0,0,1,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0
2020-11-13,ireland_vs_wales,20,Wales,Aaron Wainwright,0,4,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0
2020-11-13,ireland_vs_wales,21,Wales,Lloyd Williams,0,0,2,1,0,36,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-11-13,ireland_vs_wales,22,Wales,Callum Sheedy,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2020-11-13,ireland_vs_wales,23,Wales,George North,0,8,4,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
