date,match,position,country,player,try_scored,ball_carry_meters,ball_carry,beat_defender,line_break,passes,offload,total_turnovers_conceded,try_assist,points_scored,tackle_made,tackle_missed,total_turnovers_gained,kicks_from_hand,conversion_successful,penalty_goal_successful,drop_kick_successful,lineout_won_own_throw,lineout_won_steal,penalties_conceded,red_card,yellow_card
2020-12-06,england_vs_france,1,France,Hassane Kolingar,0,-1,4,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,2,0,0
2020-12-06,england_vs_france,2,France,Pierre Bourgarit,0,10,7,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0
2020-12-06,england_vs_france,3,France,Dorian Aldegheri,0,4,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
2020-12-06,england_vs_france,4,France,Baptiste Pesenti,0,1,3,0,0,1,0,1,0,0,6,0,0,0,0,0,0,0,0,3,0,0
2020-12-06,england_vs_france,5,France,Kilian Geraci,0,8,4,0,0,1,0,0,0,0,11,0,0,0,0,0,0,3,0,2,0,0
2020-12-06,england_vs_france,6,France,Cameron Woki,0,2,2,0,0,1,0,0,0,0,6,0,2,0,0,0,0,3,2,0,0,0
2020-12-06,england_vs_france,7,France,Anthony Jelonch,0,4,5,0,0,1,1,0,0,0,15,1,2,0,0,0,0,0,0,0,0,0
2020-12-06,england_vs_france,8,France,Selevasio Tolofua,0,12,11,0,0,2,1,1,0,0,7,0,1,0,0,0,0,1,0,0,0,0
2020-12-06,england_vs_france,9,France,Baptiste Couilloud,0,-3,4,0,0,59,0,1,0,0,8,0,1,9,0,0,0,0,0,1,0,0
2020-12-06,england_vs_france,10,France,Matthieu Jalibert,0,17,7,1,1,12,0,0,1,11,3,0,0,13,1,3,0,0,0,0,0,0
2020-12-06,england_vs_france,11,France,Gabin Villière,0,5,6,0,0,2,1,0,0,0,9,0,1,2,0,0,0,0,0,1,0,0
2020-12-06,england_vs_france,12,France,Jonathan Danty,0,13,3,1,0,1,0,1,0,0,7,0,1,0,0,0,0,0,0,0,0,0
2020-12-06,england_vs_france,13,France,Yoram Moefana,0,12,4,2,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0
2020-12-06,england_vs_france,14,France,Alivereti Raka,0,10,3,0,0,1,0,2,0,0,8,2,2,1,0,0,0,0,0,1,0,0
2020-12-06,england_vs_france,15,France,Brice Dulin,1,29,14,1,0,2,0,2,0,5,2,0,0,19,0,0,0,0,0,1,0,0
2020-12-06,england_vs_france,16,France,Peato Mauvaka,0,6,7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2020-12-06,england_vs_france,17,France,Rodrigue Neti,0,3,3,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0
2020-12-06,england_vs_france,18,France,Uini Atonio,0,6,6,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0
2020-12-06,england_vs_france,19,France,Guillaume Ducat,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,1,0,0
2020-12-06,england_vs_france,20,France,Sekou Macalou,0,3,3,0,0,0,0,1,0,0,6,0,2,0,0,0,0,1,0,1,0,0
2020-12-06,england_vs_france,21,France,Sebastien Bezy,0,0,0,0,0,19,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0
2020-12-06,england_vs_france,22,France,Louis Carbonel,0,0,1,0,0,1,0,1,0,3,5,0,0,5,0,1,0,0,0,0,0,0
2020-12-06,england_vs_france,23,France,Pierre-Louis Barassi,0,2,1,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0
